3096,"Weatherboard","Weatherboard, Clapboard","WTBD",3021,75,0,0,1,1
3097,"Weatherboard-beaded","Weatherboard, Clapboard","WTBD",3021,76,0,0,1,0
3098,"Window wall","Window wall","WINW",3021,77,0,0,1,1
3099,"Wood shingles","Wood shingles","SHWD",3021,78,0,0,1,1
3100,"Wood siding","Wood siding","SDW ",3021,79,0,0,1,1
3101,"Wood/Plywood","Wood/plywood","WOOD",3021,80,0,0,1,1
3102,"Other","Other","OTHR",3021,81,0,0,1,1
3103,"Unknown","Unknown","UNKN",3021,82,0,0,1,1
3104,"Shingles-unspecified","Shingles, asphalt (or unspecified)","SHIN",3021,83,0,0,1,0
3105,"Tar paper","Tar paper","TARP",3021,84,0,0,1,1
3106,"Not applicable","Not applicable","NA  ",3021,85,0,0,1,1
3107,"Shingles-slate","Slate shingles","SHSL",3021,86,0,0,1,0
3108,"Slate shingles","Slate shingles","SHSL",3021,87,0,0,1,1
3109,"Unspecified","Not specified by surveyor","UNSP",3021,88,1,0,1,1
3110,"Asphalt shingles","Shingles, asphalt (or unspecified)","SHIN",3021,89,0,0,1,1
3111,"Shingles-asphalt","Shingles, asphalt (or unspecified)","SHIN",3021,90,0,0,1,0
3112,"Composition Board","Composition Board","COBD",3021,91,0,0,1,1
3113,"Composition Roll","Rolled asphalt/Composition Roll","ROAS",3021,92,0,0,1,1
3114,"Random Ashlar","Stone","STON",3021,93,0,0,1,0
